world,title,pdf_path,text_path,status,text_bytes,notes
public_goods,The Pure Theory of Public Expenditure,literature/pdfs/manual/public_goods__1954__the_pure_theory_of_public_expenditure.pdf,literature/text/manual/public_goods__1954__the_pure_theory_of_public_expenditure.txt,existing_text,12378,
public_goods,The Logic of Collective Action,literature/pdfs/manual/public_goods__1965__the_logic_of_collective_action.pdf,literature/text/manual/public_goods__1965__the_logic_of_collective_action.txt,existing_text,150065,
labor_market,The Economics of Matching: Stability and Incentives,literature/pdfs/manual/labor_market__1982__the_economics_of_matching_stability_and_incentives.pdf,literature/text/manual/labor_market__1982__the_economics_of_matching_stability_and_incentives.txt,ocr_text,46258,
